Datum,text
2017-01-19 04:09:31,"05:09 Liptovský Mikuláš, Žilinský - nepriaznivé počasie - extrémne mrazy"
2017-01-19 04:09:24,"05:09 Martin, Žilinský - nepriaznivé počasie - extrémne mrazy"
2017-01-19 04:09:15,"05:09 Banská Bystrica, Banskobystrický - nepriaznivé počasie - extrémne mrazy"
2017-01-19 04:09:14,"05:09 Poprad, Prešovský - nepriaznivé počasie - extrémne mrazy"
2017-01-19 04:09:12,"05:09 Rožňava, Košický - nepriaznivé počasie - extrémne mrazy"
2017-01-19 04:09:02,"05:09 Spišská Nová Ves, Košický - nepriaznivé počasie - extrémne mrazy"
2017-01-19 04:08:56,"05:08 Bytča, Žilinský - nepriaznivé počasie - extrémne mrazy"
2017-01-19 04:08:56,"05:08 Nové Mesto nad Váhom, Trenčiansky - nepriaznivé počasie - extrémne mrazy"
2017-01-19 04:08:56,"05:08 Žiar nad Hronom, Banskobystrický - nepriaznivé počasie - extrémne mrazy"
2017-01-19 04:08:56,"05:08 Gelnica, Košický - nepriaznivé počasie - extrémne mrazy"
2017-01-19 04:08:53,"05:08 Bardejov, Prešovský - nepriaznivé počasie - extrémne mrazy"
2017-01-19 04:08:53,"05:08 Brezno, Banskobystrický - nepriaznivé počasie - extrémne mrazy"
2017-01-19 04:08:52,"05:08 Zvolen, Banskobystrický - nepriaznivé počasie - extrémne mrazy"
2017-01-19 04:08:50,"05:08 Považská Bystrica, Trenčiansky - nepriaznivé počasie - extrémne mrazy"
2017-01-19 04:08:49,"05:08 Piešťany, Trnavský - nepriaznivé počasie - extrémne mrazy"
2017-01-19 04:08:48,"05:08 Ružomberok, Žilinský - nepriaznivé počasie - extrémne mrazy"
2017-01-19 04:08:48,"05:08 Čadca, Žilinský - nepriaznivé počasie - extrémne mrazy"
2017-01-19 04:08:45,"05:08 Sabinov, Prešovský - nepriaznivé počasie - extrémne mrazy"
2017-01-19 04:08:45,"05:08 Zlaté Moravce, Nitriansky - nepriaznivé počasie - extrémne mrazy"
2017-01-19 04:08:42,"05:08 Partizánske, Trenčiansky - nepriaznivé počasie - extrémne mrazy"
2017-01-19 04:08:41,"05:08 Námestovo, Žilinský - nepriaznivé počasie - extrémne mrazy"
2017-01-19 04:08:36,"05:08 Krupina, Banskobystrický - nepriaznivé počasie - extrémne mrazy"
2017-01-19 04:08:26,"05:08 Púchov, Trenčiansky - nepriaznivé počasie - extrémne mrazy"
2017-01-19 04:08:22,"05:08 Stará Ľubovňa, Prešovský - nepriaznivé počasie - extrémne mrazy"
2017-01-19 04:08:21,"05:08 Dolný Kubín, Žilinský - nepriaznivé počasie - extrémne mrazy"
2017-01-19 04:08:21,"05:08 Topoľčany, Nitriansky - nepriaznivé počasie - extrémne mrazy"
